model,cv,mask_frac,rmse_tvt,rmse_std
hist_gbm,naive,0.1,6.8202075809246026,0.5572209671733341
lightgbm,naive,0.1,6.839795068604339,0.5376468748792734
ridge,naive,0.1,81.10180392248435,9.46036428320355
hist_gbm,pad,0.1,6.801700517629287,0.6939307887992258
lightgbm,pad,0.1,6.801768184412294,0.6586976130654163
ridge,pad,0.1,81.43393399308334,7.186219017131955
floor_hold_last,per_well,0.1,4.930241566464698,0.0
hist_gbm,naive,0.25,10.85188270010765,0.6342946732358851
lightgbm,naive,0.25,11.067063544130523,0.8375862381468361
ridge,naive,0.25,257.8444958978945,29.114914942567523
hist_gbm,pad,0.25,10.775805482203655,0.6862463126995827
lightgbm,pad,0.25,10.863179556749534,0.4261657021650924
ridge,pad,0.25,259.024541805834,18.172468929986866
floor_hold_last,per_well,0.25,8.115803099146143,0.0
hist_gbm,naive,0.4,13.286872846443174,1.4633059088998945
lightgbm,naive,0.4,13.756177689233576,1.375456796191817
ridge,naive,0.4,574.0033299839303,62.83038552598712
lightgbm,pad,0.4,13.082133912827413,0.780026745719618
hist_gbm,pad,0.4,14.407476147901168,1.8093405332905956
ridge,pad,0.4,576.7970254473115,27.900093558416437
floor_hold_last,per_well,0.4,9.92425370558543,0.0
