well,eval_span,n_eval,floor,v2_base,v2_dz,v2_dz_g3s15,v2_dz_g3s25,v2_dz_g15s15,v2_spread2_dz,v2_spread8_dz,v2_N300_dz,seedens_best,beam_cons
000d7d20,15.200000000000728,3853,7.2863205614466455,5.120030342205794,4.642573309890153,3.1355933581733604,4.788096471834141,4.71340230112724,4.926855668077641,5.553429949099694,5.377378742521599,2.561996774830418,10.57886190503609
00bbac68,50.18999999999869,5518,17.993766649551137,17.222547267963424,10.992512973671902,11.008088830492547,11.016932949337807,10.998362560422308,13.138027106011226,10.963475530801635,10.216691365879525,9.300538448617777,22.743107429645097
00e12e8b,29.590000000000146,4660,11.830344267752135,10.868944366648261,8.248771351927571,8.09438353785748,8.200982978669355,7.479581365664445,7.422490241235502,8.101502069064855,8.35119362129794,7.450650194889145,11.357124923306742
015fe0d2,39.14000000000124,4344,24.242432113052665,16.47029391713729,8.907375689670591,12.166739518689361,5.75434048171265,5.550775568372448,12.085176296795144,31.34386353283569,3.6354235497299774,3.2752853631847914,24.615526843098994
01869cd4,39.0,5000,17.69410127076326,7.370434276277146,6.775586046069888,5.579060596229362,6.330107531167957,7.692584091261873,6.54834558922704,7.590607073080444,8.512237818958088,7.971545605398214,19.0843634680327
01982c1d,18.01000000000022,4079,5.567574296755209,9.755754399810142,1.98785368587333,2.1855375522306217,7.122003957686356,2.207470383869526,2.1499557811731966,20.194320578129997,6.454178611719571,2.6848242224080456,5.644503664889223
028d7b28,25.73999999999978,5666,13.241266079626321,12.638397402473359,24.063095762193846,23.930543839770262,23.861138954016123,24.068143438802363,34.887494469303526,35.05393505203567,20.997316804987733,23.9769694371761,13.04587117896795
02e7fe5a,24.18000000000029,5028,6.448901397623607,3.1992288737712054,4.6087713104927355,4.460545339312881,4.573448873491655,4.554913149716521,4.579372452262565,4.520537193846787,4.553753083327759,4.148848387508898,6.381199006124622
0390d174,31.399999999999636,4454,8.330478427749775,2.659499033830462,4.170024756078754,4.021378515312121,4.201446415286902,4.03056586299312,4.088468243186841,4.027465003669768,4.146122150459341,4.049773931257209,8.245697144359418
03a935ae,72.25,3234,48.998316174860534,18.061933232498088,13.045595658192278,10.831997095596245,13.039145283458863,10.573408336302576,9.96999505802953,10.571462250732774,10.764501723123896,10.415790105930128,49.601276352538754
044af7d1,23.219999999999345,4429,6.8481642224343995,10.900981390244619,5.6910502525310065,5.198658047900029,5.690700572498308,5.371946383850739,5.6779318120671025,1.9353678793565023,5.686536153799516,5.2463174782152295,5.8061491955054425
0498acab,22.399999999999636,4695,5.469070165677498,8.47639916673964,1.8125104393632243,1.8946957187895055,1.6103934517754335,2.030348271728435,1.90379969226819,2.0435741765436006,1.9680880434182135,1.7723207394368277,5.587050698343102
052d64df,33.76000000000022,3351,19.217757623023953,1.5391065758835991,5.634547653165642,6.384715877326418,6.156792969676196,5.591500881608889,5.530086514602345,6.588653802136403,6.534641361242818,6.159964755503308,25.776856906622765
05948241,15.010000000000218,3962,5.642278291258075,11.335651409672218,1.3962191849661634,1.3764649872702757,1.4025574027068073,1.4587453022426866,1.4156096089619121,2.0093090246531466,1.349825786100029,1.455153195088595,5.650749413116129
059c8f24,31.31999999999971,5839,12.311801616095188,6.283128896709765,8.936965156595093,8.78118696460277,8.932696328844647,11.661536907988086,8.982908430389806,11.637612536335995,14.809503666444122,9.098981376971894,12.564271051517142
05a0ee4d,41.20999999999913,4452,16.757233136736225,8.168386940075724,14.190714464128742,14.386857763784905,14.257001042223479,14.268169710712424,19.451973803777943,14.600622637201834,14.228902874944366,13.818428916200988,17.248337181728438
060ab2b8,27.079999999999927,5707,6.318580396476673,3.4303841707576836,11.874232311776195,11.875020575197249,11.838231203857513,13.077240235174456,11.865990650901566,11.879488454884626,13.10180613154512,12.329174236265258,5.134718908449895
06df5958,10.849999999998545,3678,5.709925468696907,4.514640894694704,3.4593290408146666,3.3241755993757796,3.321717555482476,3.4227121665589246,3.3350359569133645,9.625231483557021,3.40149105092247,3.639194401581822,4.597194019113283
071d7b45,31.30999999999949,3446,23.189291757931734,1.7620865278898539,2.193377404131588,2.1782195610194406,2.185170361860485,7.1858151868458195,2.1555355714211912,2.2414802216077865,2.1749278923089412,2.9696202507321763,19.866383828297568
