well,n_eval,floor,pfx2,pfx2_proj,gs,spread_mean,spread_p90,end_spread,lw_shift
00bbac68,5518,17.993766649551137,19.204965449172068,19.1489657968364,11.865562688374466,0.06640746405243768,0.042426972179436036,0.010312845517739068,0.9913616245693024
00e12e8b,4660,11.830344267752135,9.25209887613726,8.657705249340578,17.85693897426663,0.34190558149640815,0.869581168489927,0.11508391042694355,2.9550500417757792
01869cd4,5000,17.69410127076326,22.83183786235296,22.165121591142192,13.772953711232043,7.780380423374576e-08,2.921946495236663e-07,7.728218909362227e-08,1.662080737270472
0390d174,4454,8.330478427749775,3.6785118097384166,4.224254986569639,10.0,0.09954832808595405,0.2742130587982868,0.005107222312702991,0.16485946009352653
03a935ae,3234,48.998316174860534,1.4852462362273495,2.758217054970815,15.026922850702908,0.3122536801603607,0.9454014349722881,1.2195225676294232,6.655534397391099
05948241,3962,5.642278291258075,5.846907320056312,4.833238527105502,15.108687002622238,0.29119508929601917,0.6371634702974065,1.449992861887962,1.4794983559639077
059c8f24,5839,12.311801616095188,7.217759110619853,6.950051101403668,11.502326048461374,2.6562275673279785e-14,6.723511571462203e-14,9.134338492580832e-14,0.9305407364608113
0849b4e2,5428,14.265487027014489,1.9502569868115305,1.6679003890840443,10.0,0.0,0.0,0.0,3.0372589876785874
084d66f9,4111,10.854309121921627,9.544996665899994,8.997148777811338,13.859694273052748,2.215688016622084e-07,8.848483408045029e-07,1.0826007623545604e-06,4.781881773942873
08fecf00,5406,4.648073103319937,5.219611270184978,5.566932554481863,12.53452653507412,0.365830103753521,1.1059936193064934,0.039985721009061066,0.3018339777285284
0be01c24,4661,7.289870597158528,2.4088653345026616,2.2254362047739713,13.41360345830178,0.637962305553061,1.5453860345666324,0.1776636172195396,0.20004787048305006
11d0f5ac,4656,22.64062468638776,1.9911049639172698,2.2221386417519775,10.421719809975398,0.032871109949216805,0.08681108424124423,0.012088342933768354,0.044868646781217825
122bd617,4678,13.030496973181142,7.305014143608707,5.508627927576949,11.296010025189826,0.0752532949316031,0.19482750333673782,0.006054496571765744,9.86095187027737
125be846,5864,8.711523567766562,13.367535855419513,11.925228364560466,17.3978857331554,0.019607993392140838,0.07243921429123498,0.038867076957634396,1.0297076076681393
12f0cd90,5425,10.607722310972733,7.291218615450414,6.96172382580386,12.97795039430566,0.003541883587690294,0.005802861408277386,0.0003659898116336737,6.755813715395526
13ce113d,3559,12.89497233389787,1.895312907683476,1.3205960737189233,15.470214862174423,0.15588504763688119,0.5270754596450046,0.7644193464959093,4.146841170773241
14a53cb3,6409,7.305927578428582,3.670930495136647,3.735013605885763,18.93507214291738,0.030706332791537345,0.0457131432380451,0.014725096311313133,3.7416246712756593
14ad5efb,5367,6.585246286991164,4.570165229972946,4.135564524876706,11.38672176249352,1.1912341798269712e-13,2.9692478899899374e-13,2.988253909508767e-13,3.1465628132479284
177622d7,3430,8.18765042992682,4.30533408109466,3.0089888157354863,13.189060063671612,1.4170879156821803,4.75912058397133,3.956062112098222,4.586796909114385
1b1eba53,4898,73.7325723286036,65.26560124506364,64.52239842575565,14.41586578810449,0.02559392854859423,0.06498130674429935,0.006505556516776371,6.466805088524569
1b6ba517,6286,7.136542529669258,34.19642202038105,34.10180259376382,18.177440026271245,4.098420739993916e-09,8.964550020773936e-09,1.9485963592194321e-10,1.437988601091711
1beca81d,4854,7.820077891708282,4.515612357143144,3.7484023169527765,10.0,0.0003012306758606409,0.0008725994210677031,0.002668448123406932,5.295408094820481
1e30dedf,3996,11.076873960496878,1.4000062165496014,1.5253768044422475,10.0,0.019636707200542263,0.03551059500126798,0.019963842676033537,3.8475430801852237
203721ab,5282,11.594958938067354,13.26776595944938,11.988187351884326,10.0,0.0005941265346085757,0.001473809186465693,9.019416191808594e-05,4.084031051617243
20402d71,5789,6.808984340499405,4.543311860578713,4.043238676889725,16.780019548955206,0.26146513388179365,1.0260016355123691,0.016216727933726912,1.7371341705233598
206b6193,6255,35.05624572250446,35.78179340583675,35.813016725922175,11.536888173666805,0.04332990438024577,0.10315425434116131,0.07544172969653215,1.407366678420472
2075c696,4073,26.599934957156407,11.48724282935241,11.128761216735427,16.23499648667551,0.030350475162884732,0.048543847024976855,0.053618204366980254,3.2880507843200966
25939962,4432,10.808251377254997,20.933606971471125,20.42116110061327,14.360354555773261,0.17941416418793804,0.46205911365003893,0.0073572352237916945,0.18540951685441576
25fd32b3,3319,2.3098343728001254,1.0318076422492595,0.80290822383689,16.592262982194995,0.05689623497788985,0.13403107962468888,0.015179388717538092,0.048459073367405715
264feceb,5408,5.456041037398886,2.48820203098388,2.57304474184248,11.402942472409087,0.06899560142623054,0.17468120739291612,0.009496610609144807,0.173286923062069
26d3a96a,4719,9.030830047902123,7.386059804899895,6.966620168040354,11.891344226957452,0.8525376643384281,2.942265987785266,0.026203269798835527,0.6904152584563259
272abef3,4148,10.007297997521167,12.096589320512436,12.315507461616978,13.221085828137296,2.941168132921069e-15,8.75889339083318e-15,8.836886449463266e-16,5.313337531224023
283269ac,3334,4.7124055191434,27.53136240673004,27.294043557078044,16.11255751907312,0.34647513124220053,1.243581986113995,0.0029797481084232417,0.8462059397746803
28473855,4833,4.295641524375474,1.2673857940661648,1.2764070109511643,18.41271602153022,7.524876510461039e-07,3.293521832551852e-06,3.549105300495321e-06,0.6095186315836035
29b24409,5414,13.451148336069483,2.417468364552509,2.5007443770786617,14.077134083717292,1.968404305432907e-06,3.610756745796089e-06,6.894636381830153e-07,0.13671559101782013
29de15c8,3770,2.9827193990149574,5.324951160671899,5.1717726769614565,10.772463814111601,0.20394722221643227,0.9208234471609066,0.20769425377405562,2.1366816021042703
2ab29395,2427,11.54833265647666,8.455706523288754,8.629265207073344,20.643140369976013,0.0003725151142482939,0.0005373472253633906,0.006084428664497283,1.2769303684795426
2bff06cf,6697,18.436235347656716,15.854703731114812,15.845749280929857,11.653088740219594,0.0008836155415774709,0.0030586835789857287,0.004634329110936356,1.919030312834374
2c0c4a4e,4905,6.741521486058512,3.8893563846298402,3.707223992295183,11.859550123735506,0.00010465186422001114,0.00019293789900647401,0.00011796996931526223,6.815912651739787
2cee0cba,5355,7.232132009859061,4.163230351954992,4.0089985636828205,10.0,2.9476499508623245e-26,1.1909931402146838e-25,1.3952962366835876e-28,1.3438889647307692
2d179ded,6734,8.377628016807602,5.539892247345633,5.285502280555112,11.40677510746497,3.231795785257258,5.448225723759031,5.137228042030197,8.01751022945723
2d196986,6071,11.939553796899647,6.9056099258917785,6.726935803772101,14.850436866208286,2.8573778568772497e-06,4.5757458115071435e-06,6.583344394879201e-08,0.8049677114294466
2d35f86d,4838,11.328521182698816,21.11404730753684,20.526869701090476,24.544262106652898,0.004139449375921444,0.017817272479306437,7.955198988570475e-05,1.6379373386323943
2ddad940,4973,10.634350749607623,8.318558726192032,8.18817486955609,22.557819457330957,0.35757411415031903,0.7823450042805573,0.8827855322246906,0.5093864715075761
2e29e833,5295,5.041043083826082,6.092623343286755,5.649621976805814,12.01272334699621,1.4559852789822672,3.1927542380056124,0.026293797431181345,2.0989064944602025
2fa01aa6,2818,29.897015967035234,47.40784805878236,46.885216898252175,16.039801037266415,9.419474300058718e-37,1.2728748572700817e-36,1.945783212936842e-36,30.68811858599089
2fe023be,4424,16.09551258040674,10.389101580115856,10.286882669132865,13.082056231876296,5.015437042129321e-07,2.516068631628024e-06,1.6260720560419203e-06,1.9148279196334301
310c71a5,5101,8.837097652654156,8.064255572967955,7.633917328117221,10.0,0.03105559636939585,0.08778470399620812,0.1564828624064199,1.3855084168135723
32fe84c9,5959,21.617764495173315,6.840880410650952,6.023179908176398,11.69174433404062,3.9855315843176946e-35,9.732310139200699e-35,1.6627957867077716e-36,2.9785840277601414
368fe682,4684,17.52145958188367,14.161593767541822,14.473759401413957,22.532915132088256,0.002335052799239816,0.004239010694385458,0.0020451655674824263,2.2641629443835254
3690a146,4206,6.693932778550061,5.5213501054633936,4.671844634173487,10.0,7.887455997466015e-38,2.167381965573822e-37,2.2841818601735692e-39,7.930361992012039
373ef48b,3644,7.2329483207430805,5.145564466732949,4.613506066248401,11.666549507105819,8.79816889112869e-07,2.189438272878736e-06,1.5805211760334577e-07,2.8620605611630987
374be387,8615,7.394861244571331,8.303251793850952,7.957343155861593,10.0,0.4420905979525888,0.8571173439595786,0.9406980026047989,3.1881708516187452
37d36812,4392,21.757803090671036,20.966450232469438,21.143436873751117,13.701582837966589,0.029392198268714972,0.06583266342163756,0.11886550787215036,0.40105015063555394
398dce4b,3654,9.164611383262688,1.9986932241234754,1.9654311217355325,10.0,0.051742152380979754,0.06833470313588527,0.9941008616904924,0.1171776525765586
3a0af893,3343,17.480916179697722,17.554278248356272,17.394115325241856,19.53291886614857,0.011451005482081753,0.025518527049985713,0.01001121845090669,2.8380706582746704
3aaa2b30,4669,18.719911575024003,6.16473912199382,5.861097107935991,12.837279800408812,0.0002925397141476113,0.0005904111771282807,0.00048826616468966246,10.956309818974725
3ac16ad0,5411,10.402464612078335,3.333776487554448,3.5510604153934384,14.829015876196875,0.012583059702606024,0.013859167579933197,0.002166254372330979,0.07709073906564103
3b21ea64,6645,7.279944008747909,14.272273269825684,13.707811048084517,13.588024742068917,0.010739351684960728,0.020136912448365952,0.005191007408528819,0.1691561177473931
3c3dbcbc,5045,8.311710998494659,7.523031660351938,7.247642273963278,17.489426331920786,0.017157585635246945,0.03862259878571184,0.118140190209719,2.141592651284923
3df4b19e,4860,8.902699204599276,9.595918400524026,9.715834561480674,13.443232747340947,0.007746838514933725,0.021433866415399985,0.005545520073589979,11.365384712966769
3e011332,3535,42.95189264822946,14.395934150567527,14.451762285856645,10.753355282417301,1.495950010646481e-09,4.9676123344599025e-09,4.163130362835025e-09,1.537283691965881
41fb0192,3198,7.269835241617584,3.0683126976420807,2.9491266737059076,12.895207974959927,0.0928049112507643,0.20956772233308932,0.026489409128346394,0.07558016368434786
42669188,4438,22.92218011424274,7.4827217286436305,6.857109727094269,10.0,0.04135517082315126,0.10035518172691507,0.12398957530674365,8.275857214521801
445af6c2,5839,32.12524602360827,22.91295379123135,23.23293850077511,10.149376225402321,1.2636243824463091e-122,2.954180724368639e-122,2.8947060339216924e-122,2.634748198803369
4654e7de,5117,11.124594622323631,4.724747960397882,4.7864783584300366,10.0,0.4173075201927073,1.775997200075161,0.10778565836827356,9.261314141064053
466fc788,5670,23.22942212681335,15.288627985918717,14.308111818540691,10.802325023893564,1.7951057680011302e-05,2.5392449074499236e-05,1.8713329112601533e-05,21.223973295863747
46d24a09,4470,21.0644266403515,30.93095276914268,30.439589391028115,13.406204077547995,0.003436581662411406,0.006502509980313202,0.0006965963030503412,2.303470713837373
48c1f673,3406,26.202619345023756,24.863746478738193,24.858471567128973,10.0,0.020790455420436373,0.0378891044583155,0.022731238744545097,0.1485739635938227
49dbc14c,3795,5.961264115527164,16.403452951837785,16.308888458702953,19.581142239006855,1.6708218978500725e-18,1.9389869316175166e-18,1.7101449458956274e-18,13.707383934494384
4a8ecc0b,5383,13.478221773558168,4.101357157002725,3.5065428271951213,20.142228780049084,0.013280205367372795,0.0267202290349622,0.09450479949557575,0.6123530595950541
4b831d20,6886,10.117427907260263,5.518828080846785,5.991175576918761,14.763217190943266,2.1067284981826,6.591882117497782,10.695370653301874,1.5938057420883085
4c2208f5,5291,36.62219320280926,11.455087213927328,11.271716346764169,16.336741925485438,0.34873646875142683,1.5426902707602421,0.019601823508624182,9.729193036667368
4c3168cf,4350,4.142112354659639,3.4066326658564137,2.4860360042483336,12.838730584755139,0.0037122524631753025,0.009239253134209069,6.66601363906394e-05,2.613937233168637
4ddde4c1,4684,5.142727153024632,5.497176930893669,5.410527967019549,13.434949003881773,0.023546707771620816,0.04896256027381735,0.002363311260311715,3.236052509128208
4f69febf,5547,12.201745043165973,2.0715350952221048,2.0422005010110302,13.508327034803507,0.021340867462351695,0.05912781971161264,0.001095899233386606,2.7637738739759197
4fbe9c06,5795,13.616454296548438,28.056037937114827,27.6008698298297,13.516746036434126,0.05081903334134618,0.11313596046259683,0.009808665513414926,0.8045732782719346
511e1db0,4121,6.958461757220173,8.805670161035762,8.865044455212216,10.226890849994373,0.06531130761726141,0.22103756413690698,0.009450727319071274,2.1863385149473524
512943b2,4877,3.4970747522524728,2.4371598534651895,2.799003786482157,11.810194155628647,0.0010310081072799513,0.0026521371500343354,0.0012062063588405068,1.414229316932405
516088b7,6059,6.663493386819681,14.86835812045903,14.654013994470942,14.612539634110085,0.0216076541615031,0.06760555625009292,0.0024042993029320205,0.10548324682848374
521a7819,5274,20.326065478274092,6.343449042635718,5.687369342497319,11.82042147743975,0.00374851428676559,0.010428476477529256,0.012112649725945227,3.278175304306106
5305524b,4714,19.40543069816383,5.760737754788157,5.78225838575894,14.694691288468634,1.9787576451284595e-25,6.94426876020506e-25,1.939490871253362e-26,0.5837494631098066
5567d551,6125,14.947633214877834,10.329789072522571,10.34129884384105,11.864841241357228,0.007902988217478035,0.01181990241370407,0.00038949434463740194,1.7986216715725192
5663b2b7,5042,15.995051237233431,14.915111972119934,14.433837337586946,14.317155627161005,1.3088814265191135e-18,4.216665212053891e-18,3.753848334355113e-20,4.826002933126784
58850d2c,5050,14.64719088601917,9.554763769795317,9.752548092311583,20.809487848429402,0.25622947188090456,0.6617001095015161,0.1435533157574211,2.095556275277345
5a1a8fd8,4974,18.95607866345528,3.6187460623189573,3.424164880227437,17.458213624099393,7.64454715987884e-10,1.6562937815623955e-09,1.5912591449265604e-09,2.9002208203818602
5a5269a9,5879,7.273217586709342,6.6874692319607485,5.404412309443021,11.50060668843762,0.2760749183065305,0.6617684553176124,0.08675344313615334,1.3118679310687797
5a5d1982,3976,7.239033173200967,1.8549396899894133,1.9614972507199477,14.659956392857731,0.010066680760510026,0.030073581409194236,0.0007022175327677845,0.6365809849400549
5a63b5d1,5878,18.381222162110554,26.203986157736058,26.087486539085262,11.188778502437128,8.018432691685604e-24,1.730495904801106e-23,1.2224386989607006e-23,2.9512777792590192
5aa03df7,4929,6.559438408718735,13.110131420942956,12.51072694315532,11.377786603469028,0.0008345158843568631,0.0013693312340935604,0.009602391431120481,6.3343405109940605
5cb483ac,3800,6.326385618977432,4.678253733992958,4.07264242172029,12.350997163532838,0.06009465481988352,0.1329208217176397,0.015763539989018867,0.7061745311339196
5def1ce5,5838,14.429050638541339,7.172212737658895,7.493157294581917,10.482993679488418,0.0033186695244803725,0.007163933158447631,0.001573303493955308,4.22051821686513
5eae34a8,4856,7.33424079615688,2.0236717261164645,2.1843172397115014,10.0,0.17259597565664733,0.4766119725994318,0.07675471438556437,0.13637128650612895
5f4d2a52,5192,57.38681167110693,41.978894903360114,41.597515390712246,16.354938293712898,0.000941408658928841,0.0034923613795258325,8.97894745548238e-05,1.6309280099001942
5fb1c15f,3546,16.610545719608574,24.414551866493078,24.16372839572741,10.0,0.00017312124292959057,0.0003067396095706792,0.00013328023621859937,2.6372625906109213
61f27424,6089,2.8714226939053664,11.39519752954702,11.121783973694228,10.826693061909161,0.08215902388914416,0.2023446638641884,0.010874269319915928,0.4910527791179727
62569ae3,3827,9.764152402808996,5.984813153577586,5.822728297687416,12.072005117069667,0.4990761360489018,1.6158864411954625,2.1154146012165644,1.432427563086348
65a5466a,4465,11.723424263472127,14.301065184977347,14.530838307829791,10.66071047194875,0.033641463124065255,0.11352192039399778,0.00044413784126231425,8.068292158656144
67847288,6697,7.48177654935517,3.29288364536144,2.7718464666105507,15.33998093917831,1.5455558638594688e-17,2.5496026002811174e-17,2.7587915857844787e-17,8.870260904649774
69c1bdad,3391,19.871524318427223,23.296385498630045,22.809498993317266,15.398184077692648,0.012193723193452723,0.031243405334182697,0.028373334965212493,2.7544821151452337
6a8fa194,3400,15.103545562510547,3.4486558854598885,2.7032294202288205,17.62328124798607,0.35342659326464937,0.8334167554848889,2.11974686761332,0.0858233254905864
6d1d74e1,5341,19.876009915357873,24.203520991217026,23.476764750670398,13.541689660754292,0.04403752018727019,0.09638031896204748,0.011560476667007075,0.31224041158856075
6dbe4b60,4871,6.574970311148653,11.554364942827,11.655602975690185,12.429973175847259,0.14529316475448373,0.5345080945906128,0.05463536863028036,0.6929591968131903
6e6d122c,5171,9.480352639690404,10.70683329669568,9.520477454080954,14.972939172468568,1.232351673710771,5.383927986236446,0.11832385259845697,2.642956451284406
6ea22614,5763,6.916729390574272,16.252911754761442,16.38978009820918,10.0,2.609826257356527e-24,9.227226355664492e-24,3.4474505759490855e-25,3.4273485365355074
70925e23,5893,12.835267608693682,29.1854268128225,29.033606883790657,20.938948240494895,0.0024758501702981475,0.010289816917319266,0.03237558539405397,11.742012908688153
722cf0d8,5311,10.991754779435219,9.84966957952834,9.679044072576376,13.320558397439772,7.8163952629137e-123,1.4557808243916949e-122,4.49966943202105e-123,13.142577254704536
726f3dc2,6292,12.664792363992015,11.763035848331556,11.211375055542709,13.057145179237429,0.11106034732519868,0.39354916520366345,0.004632681555888355,4.951528978648592
729665c0,4216,10.319993627771376,2.481584446752153,2.207062224198512,17.14165858407285,0.06124930119882751,0.15903605155985162,0.0588804853537611,1.4240260101953222
73348914,4151,11.495949115283889,10.338094458812307,10.254116142112446,12.245039724536865,0.0007618732178489625,0.0016108189955619503,0.00028491843378407593,0.06042074832819165
73b1447d,5491,15.640405251014172,16.425210730685123,15.252011248576238,15.296558060518084,7.21218817963219e-05,0.0002475076840301244,4.4808997468513996e-07,4.12197219175857
74b6186b,3758,16.950080767522163,12.787924767150662,12.96821825542903,14.606883688784501,0.08420713420664001,0.21584677929271243,0.007997789798812967,0.10354016846358699
75cd5f11,4679,5.926898307887309,5.091485364817481,4.346026254685296,11.950903340270655,3.0222219037378878e-05,4.802410554148318e-05,0.0001326588653069668,2.3567181206661387
76201745,4276,8.126114520954866,3.5045493263293515,2.1079091706269413,10.0,0.23758026548627814,0.669079770569839,0.528739256413943,1.043758484135816
77e4821c,4774,17.848873116623373,15.428629473120779,15.303994863479458,20.214496714914606,2.1799811057381648e-07,5.831166677054078e-07,4.5605520576866194e-09,5.811592507027328
7850c72e,5630,13.217017535064668,31.823284855126953,32.1390935445212,15.893483943087004,3.498823706538782e-06,5.293217597371391e-06,3.444595548811326e-07,0.9668654649848414
79507629,5344,12.66620421255705,5.623889204426142,5.686962094024725,12.410169617334343,0.23649110478931476,0.7472256349177326,0.014069541435088609,0.2619928192603632
7acda2df,3323,11.697705483216415,13.753975521567549,13.730613214317195,22.635399288548367,0.005299732117179594,0.008149463592753781,0.0080770833191147,2.463134395537345
7b2c7b3c,3089,4.379054416024628,2.235651284694745,1.8896839111443653,12.155028967255744,0.04395355302115409,0.06933046201500936,0.2078736110088827,0.08368122908998128
7c607683,5111,9.737369882897223,6.004587365498363,6.246952449691853,11.177916657180097,0.2751117976469644,0.795968455649467,4.4121150449389095,1.2662991558288006
7d50373e,4741,6.289112098303761,2.1433779988757817,2.1079914336669567,12.953016691104652,0.10491212451443548,0.25576115136840577,0.1131467799460952,0.19600232120272407
7d57c75d,4487,13.9410964746678,12.253080621530387,12.542252730012796,19.378776786539067,0.1369687843445887,0.3651737723222432,0.5545304752535669,0.7047760115455598
7e721392,6060,39.69141852597312,31.36844783213967,31.348603247268517,11.396952050746583,1.432833078047679e-39,5.339503633053435e-39,3.141260494325511e-41,1.0311711959049388
